T1S-FQ,T1S-FA,Unnamed: 2,T1S-FA_CIMBUR,T1S-FA_CIMBUR_R,T1S-FA_LLM,T1S-FA_CFG,T1S-FA_Query,T1S-FA_Query_R,T1S-FA_MT,T1S-FA_MT_R,T1S-FA_COVE,T1S-FA_COVE_R,T1S-FA_LLM_R,T1S-FA_CFG_R,T1S-FA_COVE_MT,T1S-FA_COVE_MT_R
Where in the code exception of issue 18151 occur?,The exception of issue 18151 occurs from JvmErgonomics.java file at line 98,1.0,The exception in issue 18151 can be triggered at line 98 in the JvmErgonomics.java file in the Elasticsearch server.,1.0,The exception of issue 18151 occurs in the body of the issue.,The exception of issue 18151 occurs in the code at line 98 of the JvmErgonomics.java file in the Elasticsearch server.,"The code snippet where the exception mentioned in issue 18151 is triggered is as follows:

```
Description:
Investigating to run elasticsearch with Semeru runtimes reveals that few OpenJDK options is essential to use the application.
The initial results and experiments are on ppc64le, but it should not differ for other platforms running Semeru.

Elasticsearch is very tightly...
```",0.0,The exception for issue 18151 occurs in the body of the code related to running Elasticsearch with Semeru runtimes.,0.0,The exception of issue 18151 occurs in the body of the code.,0.0,0.0,1.0,The exception for issue 18151 occurs in the body of the code.,0
Find the vmstate from the diagnostic file attached in issue 17458,vmState=0x00000000,,"The vmstate information from the diagnostic file attached in issue 17458 is ""Java -version output\r\n--------------------\r\n\r\n> jdk8u362-b09_openj9/bin/java -version\r\nopenjdk version ""1.8.0_362""\r\nIBM Semeru Runtime Open Edition (build 1.8.0_362-b09)\r\nEclipse OpenJ9 VM (build openj9-0.36.0, JRE 1.8.0 Linux amd64-64-Bit Compressed References 20230206_588 (JIT enabled, AOT..."". The Java version from the vmstate information in the diagnostic file attached in issue 17458 is ""1.8.0_362"". The build of the OpenJ9 VM from the vm is 17.0.4.1-ea, 17.0.6, 17.0.7+5. The attached diagnostic file for issue 17458 contains vmstate information for Java 8, build 1.8.0_362-b09, using the Eclipse OpenJ9 VM. The vmstate data included in the diagnostic file attached to issue 17458 is the output of",0.0,"The vmstate is ""openj9-0.36.0"".","The vmstate is ""Eclipse OpenJ9 VM (build openj9-0.36.0, JRE 1.8.0 Linux amd64-64-Bit Compressed References 20230206_588 (JIT enabled, AOT..."".","Java -version output
--------------------

> jdk8u362-b09_openj9/bin/java -version
openjdk version ""1.8.0_362""
IBM Semeru Runtime Open Edition (build 1.8.0_362-b09)
Eclipse OpenJ9 VM (build openj9-0.36.0, JRE 1.8.0 Linux amd64-64-Bit Compressed References 20230206_588 (JIT enabled, AOT...",0.0,"The vmstate in the diagnostic file attached to issue 17458 is ""Java -version output"". It can be found in the body of the issue.",0.0,"Java -version output
jdk8u362-b09_openj9/bin/java -version
openjdk version ""1.8.0_362""
IBM Semeru Runtime Open Edition (build 1.8.0_362-b09)
Eclipse OpenJ9 VM (build openj9-0.36.0, JRE 1.8.0 Linux amd64-64-Bit Compressed References 20230206_588 (JIT enabled, AOT...",0.0,0.0,0.0,"The vmstate in the diagnostic file attached to issue 17458 is ""Java -version output"". It can be found in the body of the issue.",0
Which causes the exception in issue18400?,java.lang.AssertionError,1.0,The cause of the exception in issue 18400 is a java.lang.AssertionError caused by a failure in the OpenJ9 JIT compiler. This issue is related to the JIT compiler and was raised by a user in the MH project.,1.0,The exception in issue18400 is caused by OpenJ9 specific CI failures.,The exception caused by issue18400 is a java.lang.AssertionError.,"Hello from Apache Lucene project, where we run CI builds with various JVMs and versions, including OpenJ9.

We sometimes see CI failures that seem to be OpenJ9 specific, and we don't have many dev resources to pursue them.  You can see the recent failures in Apache mail list...",0.0,The exception in issue18400 is caused by CI failures specific to OpenJ9 in the Apache Lucene project.,0.0,The exception in issue18400 is caused by 'Apache Lucene CI builds sometimes fail with OpenJ9 specific issues'.,0.0,0.0,1.0,The exception in issue18400 is caused by CI failures specific to OpenJ9 in the Apache Lucene project.,0
Under what condition does the error in issue 17265 occur?,The error in issue 17265 occurs when a call is made to a REST endpoint after class retransformation by a Java agent.,1.0,"The error in issue 17265 was caused by a AnnotationFormatError with the message ""java.lang.IllegalArgumentException: Wrong type at constant pool index"". It occurred while hitting a REST Endpoint in a Spring Boot application deployed in WebSphere Liberty, and only occurred when the call was made after class retransformation by a Java agent.",1.0,The error in issue 17265 occurs when a call is made after class retransformation by a Java agent in a Spring Boot application deployed in WebSphere Liberty.,The error in issue 17265 occurs when a call is made after class retransformation by a Java agent.,The error in issue 17265 occurs when hitting a REST Endpoint in a Spring Boot application deployed in WebSphere Liberty after class retransformation by a Java agent. The error is AnnotationFormatError: java.lang.IllegalArgumentException: Wrong type at constant pool index. This issue was raised by the user and is related to the VM component.,1.0,The error in issue 17265 occurs when hitting a REST Endpoint in a Spring Boot application deployed in WebSphere Liberty after class retransformation by a Java agent.,1.0,"The error in issue 17265, ""AnnotationFormatError: java.lang.IllegalArgumentException: Wrong type at constant pool index post class retransformation by agent"", occurs when hitting a REST Endpoint in a Spring Boot application deployed in WebSphere Liberty. It only occurs when the call was made after class retransformation by a Java agent.",0.0,1.0,1.0,The error in issue 17265 is triggered by hitting a REST Endpoint in a Spring Boot application deployed in WebSphere Liberty after class retransformation by a Java agent.,1
which java version is used in issue 18845?,21.0.2,1.0,"
The specified Java version for issue 18845 is ""21.0.2"".",1.0,"Java version ""21.0.2"" is used in issue 18845.","Java version ""21.0.2"" is used in issue 18845.","Java version specified in issue 18845 is ""21.0.2""",1.0,"Java version ""21.0.2"" is used in issue 18845.",1.0,"Java version ""21.0.2"" is specifically mentioned in the details of issue 18845.",1.0,1.0,1.0,"Java version being used in issue 18845 is ""21.0.2""",1
What exception occured in the issue 17120,The exception that occurred in issue 17120 is IllegalMonitorStateException or java.lang.IllegalMonitorStateException,1.0,"The exception that occurred in issue 17120 is an IllegalMonitorStateException, with a count of 29106.",1.0,ArrayIndexOutOfBoundsException,"Exception in thread """" java.lang.IllegalMonitorStateException\nat java.base/java.util.concurrent.locks.ReentrantLock$Sync.tryRelease(ReentrantLock.java:175)\nat java.base/jdk.internal.vm.Continuation.enter(Continuation.java:171)\n\n java.lang.RuntimeException: count = 29106\nat...","The exception that occurred in issue 17120 was ""jdk20 OpenJDK Windows virtual/stress/PinALot.java IllegalMonitorStateException"".",1.0,IllegalMonitorStateException,1.0,"IllegalMonitorStateException was found in the issue report with number 17120 titled ""jdk20 OpenJDK Windows virtual/stress/PinALot.java IllegalMonitorStateException"".",1.0,0.0,0.0,IllegalMonitorStateException was encountered in issue 17120.,1
How many times grinder reproduced the the issue 18102?,2,,1,0.0,0,1,The grinder reproduced the issue in issue 18102 10 times.,0.0,1 instance of the issue 18102 was reproduced by the grinder.,0.0,The grinder reproduced the issue 18102 10 times.,0.0,0.0,0.0,1 instance of the issue 18102 was reproduced by the grinder.,0
which class throw ArrayIndexOutOfBoundsException in issue 19014?,TestArrayCopy,1.0,The class that throws ArrayIndexOutOfBoundsException in issue 19014 is TestArrayCopy.,1.0,java/lang/String/ToLowerCase,java.lang.ArrayIndexOutOfBoundsException,The class that throws ArrayIndexOutOfBoundsException in issue 19014 is not explicitly mentioned in the provided data.,0.0,"The class responsible for throwing the ArrayIndexOutOfBoundsException in issue 19014 is ""java/lang/String/ToLowerCase"".",0.0,"The class ""OpenJ9-11 Incorrect array optimizations"" can be found in the codebase and it is associated with the issue report number 19014 that mentions ArrayIndexOutOfBoundsException.",0.0,0.0,0.0,"ArrayIndexOutOfBoundsException can be thrown in issue 19014, but the specific class responsible for throwing it is not explicitly mentioned in the provided information.",0
Which IBM Semeru Edition reported in issue 17019?,17.0.6.0,1.0,"Yes, 17.0.6.0 is the version of IBM Semeru Edition mentioned in issue 17019.",1.0,IBM Semeru Runtime Open Edition 17.0.6.0,IBM Semeru Runtimes,IBM Semeru Edition mentioned in issue 17019 is version 17.0.6.0.,1.0,"IBM Semeru Edition reported in issue 17019 is ""IBM Semeru Runtime Open Edition 17.0.6.0"".",1.0,IBM Semeru Runtime Open Edition 17.0.6.,0.0,1.0,0.0,"IBM Semeru Edition reported in issue 17019 is ""Open Edition 17.0.6.0"".",1
What triggered the exception in issue 18082?,The exception in issue 18082 is caused by ArrayIndexOutOfBoundsException or java.lang.ArrayIndexOutOfBoundsException in the aarch64_linux build ,1.0,"The exception in issue 18082 is caused by an ArrayIndexOutOfBoundsException in the aarch64_linux build test ant task. This is indicated by the title, body, exception_and_failure_stack_trace, and labels of the issue.",1.0,"The failure was triggered by an internal build of OpenJDK version ""21-internal"" 2023-09-19 on aarch64 Linux.",The exception triggered in issue 18082 was a java.lang.ArrayIndexOutOfBoundsException.,"The cause of the exception in issue 18082 is that the ""aarch64_linux build test ant task failed with ArrayIndexOutOfBoundsException in some machines"". This is based on the title, body, exceptions, and labels provided in the issue.",1.0,"The exception in issue 18082 was triggered by a failure in the internal build with OpenJDK version ""21-internal"" on 2023-09-19.",0.0,"The exception in issue 18082 was triggered by an internal build with OpenJDK version '21-internal' on September 19, 2023.",0.0,0.0,1.0,"The exception in issue 18082 was caused by an internal build with OpenJDK version ""21-internal"" from 2023-09-19.",0
